user_ID,finishTime,Q8_1: 
249,26/04/2021 18:42,מאפשרת הכרעה
285,27/04/2021 8:21,לא יודעת
1967,26/04/2021 21:44,אין
2094,26/04/2021 23:12,לא יודע מה עדיף 
2264,26/04/2021 15:31,מדובר בשיטה הדמוקרטית והמאוזנת ביותר
2269,26/04/2021 14:53,הכי מייצג את דעת הציבור ופחות אפשרות לעריקות וכד'
3042,26/04/2021 20:11,מה שמכירים לא משנים במיוחד שהשחרנים המושחתים  לא מתחלפים
3176,26/04/2021 16:06,דמוקרטיה
3840,27/04/2021 20:47,אני חושבת שבמשך כל הפעמים שהיו בחירות בשנים האחרונות לא הגיעו להחלטה מבחינת מפלגות אבל לחלוטין היה רוב לליכוד מה שאומר שאם היו בחירות אישיות אז ביבי היה זוכה וכך צריך להיות ואז אולי לא יהיו בעיות
4771,26/04/2021 15:12,אני לא יודעת להסביר; אך נראה לי הכי שונה ממה שיש עכשיו.
5663,26/04/2021 23:12,אין לי מושג מה עדיף
6308,26/04/2021 16:42,בחירות אזוריות
7466,26/04/2021 19:40,כי מצביעים לפי האדם
7469,26/04/2021 19:14,אן מושלם
7625,26/04/2021 16:03,אין לי מושג
8583,26/04/2021 16:34,החלטה חד משמעית
8740,26/04/2021 14:51,לא ממש הבנתי אותה . לספור מעומדים יהיה סיוט בלתי נגמר עם עשרות ומאות טעויות. לא מתאים בכלל
8967,26/04/2021 20:56,מעט שינוי וכי בדרך אחרת אין רוב
10831,27/04/2021 9:44,קשה לי להחליט אולי אחרי שבנימין נתניהו ילך הביתה אוכל להחליט כיום כל הזמן בחשש שמא הוא יבחר שוב
11421,26/04/2021 19:09,היום אין ימין ואין שמאל. האישיות קובעת. 
11705,27/04/2021 22:23,ברור לי שהשיטה הנוכחית בעייתית כי עובדה שאין הכרעה. לכן צריך לעבור לשיטה אחרת
12912,26/04/2021 18:09,הכי חשוב אמון במנהיג
13986,26/04/2021 20:57,מתלבטת יש פלוסים ומינוסים קשה להחליט
14353,26/04/2021 14:58,בחירת איש איש לפי דעת המצביע
17925,26/04/2021 17:25,מפלגה גדולה עם מועמד גדול
19220,26/04/2021 15:19,ניתן לבחור את הנציגים שמתאימים לתפיסות העולם; פחות תלות בראשי המפלגות. מוכרחים לעשייה גם אם יצטרכו להשמיע קולם.אולי ניתן לפצל נניח שכל בוחר יוכל לתת &quot;3 הצבעות&quot;-יוכל להצביע לשלושה מועמדים כרצונו או לרשימה שתוכל לחלקם.המנגנון החשוב ביותר הוא ממשלה מקצועית; מנותקת ככל האפשר מהכנסת כך שיאפשר פיקוח הדוק יותר.
20198,27/04/2021 22:15,בחרתי מתלבטתמה שבטוח צריך שינוי
20635,26/04/2021 19:52,כך אני חושב
21105,27/04/2021 20:14,זה מייצג את דעות העם.וגם לא נראה לי שזה הזמ7 להחליף שיטה
21132,26/04/2021 14:54,נראה שזה הפתרון למצב הקיים
21462,26/04/2021 15:18,בשיטה זו ניתן לבחור את נבחרת ההנהגה של ישראל וכך הפשר לקחת את המוחות המבריקים מי כל מפלגה ומי ישמש כראש ממשלה ללא שיקולים זרים
21682,26/04/2021 14:56,זה ימנע את הקרקס שקיים בשנים האחרונות
37625,26/04/2021 16:57,השיטה של מפלגות אינה יעילה יותר בישראל. לכן צריך לעבור לבחירות אישיות. השיטה שבוחרים את הנציגים הינה יעילה יותר ותממש טוב יותר  את רצון רוב הבוחרים 
38500,27/04/2021 22:02,ייצוג טוב יותר. 
38543,26/04/2021 16:46,ככה אני בוחר למי שאני הכי מזדהה עם דעותיו; אבל יש גם חסרונות. למשל מירי רגב ומיקי מהליכוד שהם בלתי נסבלים
40530,26/04/2021 15:52,בחירה אישית שבה אין ספק למי מצביעים ולא תהיה טענה שאם בחרו מפלגה עם שם המנהיג אין לגיטימציה או שלא מתחשבים בזכות בחירה זו.
40708,26/04/2021 16:01,השיטה הכי טובה. מבצהיעים בדיוק למי שרוצים
42335,26/04/2021 15:01,כי השיטה הקיימת נכשלה
49007,27/04/2021 22:14,כי בחירה ישירה למועמד מחייבת אותו יותר לבחור.
49008,26/04/2021 15:26,נסיון רב שנים
49860,27/04/2021 10:23,מאפשר לאזרחים להשפיע יותר על הנציגות הפוליטית שלהם
