id,ext_id,start,finish,Q2,Q3,Q4,Q5,Q6 ,col_1,col_2,col_3,col_6,col_8,col_9,col_10,col_12,col_13,col_14,col_15,col_16,col_21,col_22,col_30,col_42,col_425,col_2581,device_type
2151.00,#NULL!,2024-03-01 02:53:48,2024-03-01 02:57:15,3.00,5.00,1.00,2.00,שיחרור החטופים צריך להתבצע בשיחרור כל החטופים בהסכם  שיתבצע בן הצדדים . או בלחץ צבאי . ,1.00,6.00,1.00,32.00,1.00,2.00,1.00,11.00,1.00,1.00,41.00,16.00,3.00,2.00,50.00,1.00,24.00,3.00,1.00
8352.00,#NULL!,2024-02-29 12:25:43,2024-02-29 12:28:20,5.00,4.00,1.00,1.00,נושא חשוב ביותר לעם כולו מכל נושא אחר !!!!,2.00,7.00,3.00,292.00,2.00,4.00,1.00,11.00,1.00,1.00,41.00,41.00,1.00,2.00,87.00,1.00,0.00,5.00,1.00
13583.00,#NULL!,2024-02-29 13:26:04,2024-02-29 13:26:58,5.00,2.00,1.00,1.00,רצוי שאנשים שמבינים בנושא יחליטו,2.00,5.00,3.00,49.00,1.00,5.00,1.00,8.00,1.00,1.00,1.00,1.00,3.00,2.00,40.00,2.00,1.00,2.00,3.00
15328.00,#NULL!,2024-02-29 17:03:37,2024-02-29 17:06:11,5.00,5.00,1.00,1.00,להחזיר את כל החטופים עכשיו! מייד!,1.00,7.00,3.00,49.00,1.00,6.00,1.00,9.00,1.00,1.00,14.00,41.00,3.00,3.00,75.00,1.00,12.00,2.00,3.00
20635.00,#NULL!,2024-03-01 14:01:10,2024-03-01 14:03:32,2.00,2.00,1.00,3.00,אין פרוט,1.00,7.00,3.00,857.00,2.00,1.00,1.00,6.00,1.00,1.00,41.00,36.00,3.00,3.00,74.00,4.00,100.00,4.00,1.00
56946.00,#NULL!,2024-02-29 14:20:45,2024-02-29 14:21:45,5.00,5.00,1.00,1.00,.,2.00,6.00,2.00,33.00,3.00,5.00,1.00,8.00,16.00,4.00,16.00,16.00,2.00,3.00,46.00,1.00,18.00,3.00,1.00
90246.00,#NULL!,2024-02-29 21:03:17,2024-02-29 21:04:20,2.00,1.00,2.00,2.00,קבינט מצומצם,2.00,6.00,3.00,52.00,1.00,1.00,1.00,8.00,1.00,3.00,1.00,1.00,3.00,1.00,50.00,1.00,1.00,2.00,2.00
95407.00,#NULL!,2024-02-29 21:36:13,2024-02-29 21:40:02,2.00,2.00,2.00,1.00,את החטופים צריך להחזיר הביתה בלי דיונים מיותרים.מדינת ישראל צריכה להראות שהיא זו שקובעת את המתווה.וצריך להחזיר את החטופים בהקדם; ויפה שעה אחת קודם,2.00,7.00,7.00,126.00,1.00,1.00,1.00,9.00,1.00,5.00,1.00,13.00,3.00,1.00,51.00,2.00,19.00,4.00,2.00
97075.00,#NULL!,2024-02-29 14:50:04,2024-02-29 14:51:08,2.00,2.00,1.00,3.00,נתניהו טוב,1.00,7.00,4.00,65.00,2.00,1.00,1.00,9.00,1.00,2.00,1.00,36.00,4.00,4.00,56.00,4.00,8.00,2.00,1.00
145999.00,#NULL!,2024-02-29 17:10:57,2024-02-29 17:12:55,5.00,2.00,1.00,1.00,THI MURL CPHRUY BUX;,1.00,7.00,1.00,848.00,2.00,4.00,1.00,6.00,1.00,1.00,16.00,16.00,1.00,1.00,74.00,1.00,0.00,3.00,1.00
157050.00,#NULL!,2024-02-29 11:55:57,2024-02-29 11:57:43,3.00,3.00,2.00,2.00,החטופים חשובים מאד. אבל חייבים להכות את החמאס ולא לאפשר להם לחזור לפעילות,2.00,7.00,3.00,48.00,2.00,6.00,1.00,6.00,1.00,1.00,41.00,36.00,5.00,5.00,72.00,2.00,19.00,5.00,2.00
202683.00,#NULL!,2024-02-29 11:57:19,2024-02-29 11:58:17,5.00,5.00,1.00,2.00,צריך לתת לאנשים שקולים ועניינים להחליט; לא הקיצונים הזויים שמוכנים להקריב אנשים עבור אדמה,2.00,5.00,3.00,1073.00,2.00,5.00,1.00,8.00,1.00,1.00,1.00,1.00,3.00,2.00,39.00,1.00,100.00,5.00,2.00
244797.00,#NULL!,2024-02-29 23:42:43,2024-02-29 23:44:35,2.00,2.00,1.00,4.00,מצד אחד יש צורך להראות את החוזק המדיני מצד שני לפעול במהירות המירבית; כל שעה בשבי איומה!,2.00,5.00,5.00,69.00,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,34.00,3.00,18.00,1.00,2.00
248317.00,#NULL!,2024-03-01 16:41:31,2024-03-01 16:43:20,3.00,3.00,2.00,3.00,בהסכמה רחבה ביותר של כל מרכיבי הקואליציה ,1.00,7.00,3.00,48.00,1.00,1.00,1.00,8.00,1.00,2.00,0.00,0.00,4.00,4.00,64.00,2.00,30.00,5.00,2.00
266212.00,#NULL!,2024-02-29 12:08:07,2024-02-29 12:10:30,5.00,1.00,1.00,1.00,לא תמיד היו אופציות שהתאימו לי. באופן כללי אני חושבת שצריך לשחרר את כל החטופים בבת אחת; ואם המחיר אומר שחרור כל האסירים או הפסקת הלחימה אז כן,2.00,6.00,1.00,17.00,2.00,5.00,1.00,8.00,1.00,3.00,24.00,24.00,5.00,2.00,46.00,1.00,26.00,3.00,1.00
268240.00,#NULL!,2024-02-29 15:18:27,2024-02-29 15:20:15,5.00,2.00,1.00,5.00,העם יאמר את דברו. רוב האנשים יודעים מה נכון לישראל בהנחה שמה שמדווחים לנו מדוייק. ,2.00,7.00,2.00,1045.00,1.00,4.00,1.00,8.00,1.00,3.00,7.00,1.00,2.00,3.00,51.00,1.00,19.00,3.00,2.00
269139.00,#NULL!,2024-02-29 12:39:11,2024-02-29 12:40:53,5.00,2.00,1.00,1.00,חשוב לדאוג לתושבי המדינה שנחטפו מבתיהם / מסיבת טבע רק על בסיס היותם בישראל.....,2.00,6.00,2.00,29.00,2.00,5.00,1.00,8.00,6.00,3.00,6.00,6.00,1.00,1.00,47.00,2.00,1.00,3.00,1.00
