Variable Values,,
Value,,Label
Q2,1,לשום מתווה
,2,שחרור אסיר אחד תמורת כל שבוי
,3,שחרור עשרה אסירים תמורת כל שבוי
,4,שחרור מאה אסירים תמורת כל שבוי
,5,שחרור כל מספר אסירים שיידרש
Q3,1,לשום מתווה
,2,הפסקת הלחימה ליום אחד תמורת שחרור עשרה שבויים
,3,הפסקת הלחימה ליום אחד תמורת שחרור כל שבוי
,4,הפסקת לחימה מוחלטת
,5,כל תנאי שיידרש
Q4,1,חשוב מאד - עדיפות עליונה
,2,חשוב
,3,יש נושאים שמעסיקים אותי יותר
Q5,1,בהתאם להמלצות השבכ והמוסד
,2,הצבעה בקבינט המצומצם
,3,הצבעה בממשלה
,4,הצבעה בכנסת
,5,משאל עם
Q6,1,<none>
col_1,0,NA
,1,זכר
,2,נקבה
col_2,0,NA
,1,10-12
,2,13-17
,3,18-20
,4,21-30
,5,31-40
,6,41-50
,7,51
col_3,0,NA
,1,צפון
,2,חיפה
,3,מרכז הארץ
,4,תל אביב
,5,ירושלים
,6,יהודה ושומרון
,7,דרום
col_6,0,NA
,1,בית שקמה
,2,בת הדר
,3,ברכייה
,4,גברעם
,5,גיאה
,6,הודייה
,7,זיקים
,8,חלץ
,9,יד מרדכי
,10,בית שאן
,11,טבריה
,12,כרמיאל
,13,מגדל העמק
,14,כוכב מיכאל
,15,מעלות תרשיחא
,16,נצרת
,17,נוף הגליל (נצרת עלית)
,18,סכנין
,19,עפולה
,20,צפת
,21,כפר סילבר
,22,קרית שמונה
,23,שפרעם
,24,תמרה
,25,כרמייה
,26,מבקיעים
,27,אום אל פאחם
,28,בקע אל גרבייה
,29,חדרה
,30,נהריה
,31,נשר
,32,עכו
,33,חיפה
,34,טירת הכרמל
,35,קרית אתא
,36,קרית ביאליק
,37,קרית מוצקין
,38,קרית ים
,39,הוד השרון
,40,טייבה
,41,טירה
,42,יבנה
,43,יהוד
,44,כפר סבא
,45,לוד
,46,מודיעין
,47,נס ציונה
,48,נתניה
,49,פתח תקוה
,50,קלנסווה
,51,ראש העין
,52,ראשון לציון
,53,רחובות
,54,רמלה
,55,רעננה
,56,משען
,57,אור יהודה
,58,בני ברק
,59,בת ים
,60,גבעתיים
,61,הרצליה
,62,חולון
,63,קרית אונו
,64,רמת גן
,65,תל אביב יפו
,66,אשדוד
,67,אשקלון
,68,בית שמש
,69,ירושלים
,70,קרית גת
,71,קרית מלאכי
,72,מעלה אדומים
,73,אריאל
,74,ביתר עילית
,75,אופקים
,76,אילת
,77,באר שבע
,78,דימונה
,79,נתיבות
,80,ערד
,81,רהט
,82,שדרות
,83,ניצן
,84,ניצנים
,85,חמאם
,86,עוזייר
,87,רומאנה
,88,רומת הייב
,89,אביאל
,90,גבעת ניל
,91,עמיקם
,92,אבשלום
,93,אוהד
,94,אורים
,95,בארי
,96,גבולות
,97,דקל
,98,חולית
,99,יבול
,100,ישע
,101,יתד
,102,כיסופים
,103,כרם שלום
,104,מבטחים
,105,מגן
,106,ניר יצחק
,107,ניר עוז
,108,נירים
,109,סופה
,110,עין הבשור
,111,עין השלושה
,112,עמיעוז
,113,פרי גן
,114,צאלים
,115,צוחר
,116,רעים
,117,שדה ניצן
,118,שדי אברהם
,119,תלמי אליהו
,121,אביגדור
,122,אורות
,123,אחווה
,124,אמונים
,125,באר טוביה
,126,ביצרון
,127,בית עזרא
,128,גבעתי
,129,חצב
,130,חצור-אשדוד
,131,ינון
,132,כנות
,133,כפר אחים
,134,כפר ורבורג
,135,נווה מבטח
,136,ניר בנים
,137,עזר
,138,עזריקם
,139,ערוגות
,140,שדה עוזיהו
,141,שתולים
,142,תימורים
,143,תלמי יחיאל
,144,דחי
,145,כפר מצר
,146,ניין
,147,סולם
,148,בית קמה
,149,ברוש
,150,דבירה
,151,חצרים
,152,כרמים
,153,להב
,154,משמר הנגב
,155,נבטים
,156,סנסנה
,157,שובל
,158,שומרייה
,159,תאשור
,160,תדהר
,161,בית יוסף
,162,גשר
,163,חמדיה
,164,טירת צבי
,165,ירדנה
,166,כפר רופין
,167,מירב
,168,מסילות
,169,מעוז חיים
,170,מעלה גלבוע
,171,נווה אור
,172,נווה איתן
,173,ניר דוד
,174,עין הנציב
,175,רוויה
,176,רחוב
,177,רשפים
,178,שדה אליהו
,179,שדה נחום
,180,שדי תרומות
,181,שלוחות
,182,תל תאומים
,183,בית אלעזרי
,184,בניה
,185,גבעת ברנר
,186,גיבתון
,187,גן שלמה
,188,קדרון
,189,גן הדרום
,190,כפר אביב
,191,כפר מרדכי
,192,מישר
,193,משגב דב
,194,עשרת
,195,שדמה
,196,אבני איתן
,197,אודם
,198,אורטל
,199,אל-רום
,200,אלוני הבשן
,201,אלי-עד
,202,אניעם
,203,בני יהודה
,204,גבעת יואב
,205,גשור
,206,חד-נס
,207,חספין
,208,יונתן
,209,כנף
,210,כפר חרוב
,211,מבוא חמה
,212,מיצר
,213,מעלה גמלא
,214,מרום גולן
,215,נאות גולן
,216,נוב
,217,נווה אטיב
,218,נטור
,219,עין זיוון
,220,קדמת צבי
,221,קלע
,222,רמות
,223,רמת מגשימים
,224,שעל
,225,אלון שבות
,226,אלעזר
,227,אספר
,228,בת עין
,229,הר גילה
,230,כפר עציון
,231,כרמי צור
,232,מגדל עוז
,233,מעלה עמוס
,234,נווה דניאל
,235,נוקדים
,236,קדר
,237,ראש צורים
,238,תקוע
,239,בית חשמונאי
,240,בית עוזיאל
,241,גזר
,242,גני הדר
,243,גני יוחנן
,244,חולדה
,245,יד רמבם
,246,יציץ
,247,ישרש
,248,כפר בילו
,249,כפר בן נון
,250,כפר שמואל
,251,כרמי יוסף
,252,מצליח
,253,משמר איילון
,254,משמר דוד
,255,נוף איילון
,256,נען
,257,נצר סירני
,258,סתרייה
,259,עזריה
,260,פדיה
,261,פתחיה
,262,רמות מאיר
,263,שעלבים
,264,בית חנן
,265,בית עובד
,266,גאליה
,267,גן שורק
,268,כפר הנגיד
,269,נטעים
,270,עיינות
,271,פלמחים
,272,אייל
,273,אלישמע
,274,בית ברל
,275,גבעת השלושה
,276,גבעת חן
,277,גן חיים
,278,גני יהודה
,279,גני עם
,280,גת רימון
,281,חגור
,282,חורשים
,283,ירחיב
,284,ירקונה
,285,כפר מלל
,286,כפר סירקין
,287,מגשימים
,288,מעש
,289,מתן
,290,נווה ימין
,291,נווה ירק
,292,נחשונים
,293,ניר אליהו
,294,נירית
,295,עדנים
,296,צור יגאל
,297,צור נתן
,298,רמת הכובש
,299,שדה ורבורג
,300,שדי חמד
,301,אביטל
,302,אדירים
,303,אומן
,304,בית אלפא
,305,בית השיטה
,306,ברק
,307,גבע
,308,גדיש
,309,גדעונה
,310,גן-נר
,311,דבורה
,312,חבר
,313,חפצי-בה
,314,טייבה בעמק
,315,טמרה -יזרעאל
,316,יזרעאל
,317,יעל
,318,כפר יחזקאל
,319,מגן שאול
,320,מולדת
,321,מוקייבלה
,322,מיטב
,323,מלאה
,324,נאעורה
,325,ניר יפה
,326,עין חרוד איחוד
,327,עין חרוד מאוחד
,328,פרזון
,329,צנדלה
,330,רם-און
,331,רמת צבי
,332,תלמי יוסף
,333,איילת השחר
,334,ברעם
,335,גדות
,336,גונן
,337,דן
,338,דפנה
,339,הגושרים
,340,חולתה
,341,יפתח
,342,יראון
,343,כפר בלום
,344,כפר גלעדי
,345,כפר הנשיא
